,county,population
0,Adair,7092
1,Adams,3693
2,Allamakee,13884
3,Appanoose,12462
4,Audubon,5678
5,Benton,25699
6,Black Hawk,132904
7,Boone,26532
8,Bremer,24798
9,Buchanan,20992
10,Buena Vista,20332
11,Butler,14791
12,Calhoun,9846
13,Carroll,20437
14,Cass,13157
15,Cedar,18454
16,Cerro Gordo,43070
17,Cherokee,11508
18,Chickasaw,12023
19,Clarke,9309
20,Clay,16333
21,Clayton,17590
22,Clinton,47309
23,Crawford,16940
24,Dallas,84516
25,Davis,8860
26,Decatur,8141
27,Delaware,17327
28,Des Moines,39739
29,Dickinson,17243
30,Dubuque,97003
31,Emmet,9658
32,Fayette,20054
33,Floyd,15873
34,Franklin,10170
35,Fremont,6950
36,Greene,9011
37,Grundy,12313
38,Guthrie,10625
39,Hamilton,15076
40,Hancock,10835
41,Hardin,17226
42,Harrison,14149
43,Henry,19773
44,Howard,9332
45,Humboldt,9487
46,Ida,6985
47,Iowa,16311
48,Jackson,19472
49,Jasper,36708
50,Jefferson,18090
51,Johnson,146547
52,Jones,20439
53,Keokuk,10119
54,Kossuth,15114
55,Lee,34615
56,Linn,221661
57,Louisa,11142
58,Lucas,8647
59,Lyon,11754
60,Madison,15848
61,Mahaska,22181
62,Marion,33189
63,Marshall,40312
64,Mills,14972
65,Mitchell,10763
66,Monona,8898
67,Monroe,7870
68,Montgomery,10225
69,Muscatine,42940
70,O'Brien,14020
71,Osceola,6064
72,Page,15391
73,Palo Alto,9047
74,Plymouth,25200
75,Pocahontas,6886
76,Polk,474045
77,Pottawattamie,93582
78,Poweshiek,18533
79,Ringgold,5068
80,Sac,9876
81,Scott,172474
82,Shelby,11800
83,Sioux,34898
84,Story,97090
85,Tama,17319
86,Taylor,6216
87,Union,12420
88,Van Buren,7271
89,Wapello,34982
90,Warren,49691
91,Washington,22281
92,Wayne,6452
93,Webster,36769
94,Winnebago,10631
95,Winneshiek,20561
96,Woodbury,102779
97,Worth,7572
98,Wright,12779
